study_ID,author_first,year,extracted,Order,Family,species,species_OTL,resistance,origin,setting,life_stage,sex,mean_mass_g,lon,lat,trt_temp,Bd_strain,Bd,time_post_days,bio_hier,trait,response,trait_unit,sample_size,chi,F,t,df,corr_coeff,corr_corrected,Zr,Zr_v,Zr_sei,notes,title,ref
35,Cheatsazen,2013,text,Urodela,Salamandridae,Lissotriton helveticus,Lissotriton helveticus,Sensitive,Wild,Lab,Adult,Male,,,,18.6,,,30,Organism,Reproduction,Sexual display,crest area,68,,0.45,,28,-0.125766542,n,-0.126436,0.015384615,0.124034735,repeated,"Experimental evidence for a cost of resistance to the fungal pathogen, Batrachochytrium dendrobatidis, for the palmate newt, Lissotriton helveticus",https://link.springer.com/article/10.1186/1472-6785-13-27
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,1,Cellular,Immune,Bacterial killing ability,%,24,,,,,-0.164718873,n,-0.166233339,0.047619048,0.21821789,repeated,"Temporal patterns in immunity, infection load and disease susceptibility: understanding the drivers of host responses in the amphibian-chytrid fungus system",https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12194
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,2,Cellular,Immune,Bacterial killing ability,%,24,,,,,-0.097039848,n,-0.097346181,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,5,Cellular,Immune,Bacterial killing ability,%,24,,,,,-0.512916873,n,-0.566679985,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,15,Cellular,Immune,Bacterial killing ability,%,24,,,,,-0.109831499,n,-0.110276355,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,1,Cellular,Immune,Bacterial killing ability,%,24,,,,,0.117676658,n,0.118224404,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,2,Cellular,Immune,Bacterial killing ability,%,24,,,,,0.454326083,n,0.490138161,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,5,Cellular,Immune,Bacterial killing ability,%,24,,,,,0.334544841,n,0.347937156,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,15,Cellular,Immune,Bacterial killing ability,%,24,,,,,0.431263938,n,0.461448371,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,1,Cellular,Immune,Neutrophils,,24,,,,,0.065359945,n,0.065453255,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,2,Cellular,Immune,Neutrophils,,24,,,,,0.385663343,n,0.406695586,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,5,Cellular,Immune,Neutrophils,,24,,,,,0.009499571,n,0.009499857,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,15,Cellular,Immune,Neutrophils,,24,,,,,-0.356034187,n,-0.37233702,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,1,Cellular,Immune,Neutrophils,,24,,,,,0.088155446,n,0.08838488,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,2,Cellular,Immune,Neutrophils,,24,,,,,0.517011122,n,0.572251843,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,5,Cellular,Immune,Neutrophils,,24,,,,,0.606342657,n,0.703117195,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,15,Cellular,Immune,Neutrophils,,24,,,,,0.099503719,n,0.099834079,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,1,Cellular,Immune,Lymphocytes,,24,,,,,-0.108849379,n,-0.10928235,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,2,Cellular,Immune,Lymphocytes,,24,,,,,0.14204494,n,0.143012011,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,5,Cellular,Immune,Lymphocytes,,24,,,,,-0.482255003,n,-0.52591851,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,15,Cellular,Immune,Lymphocytes,,24,,,,,-0.405035354,n,-0.429657879,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,1,Cellular,Immune,Lymphocytes,,24,,,,,-0.377370426,n,-0.396989858,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,2,Cellular,Immune,Lymphocytes,,24,,,,,0.153653407,n,0.154880051,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,5,Cellular,Immune,Lymphocytes,,24,,,,,0.180486465,n,0.182485489,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,15,Cellular,Immune,Lymphocytes,,24,,,,,0.191395051,n,0.193784867,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,1,Cellular,Immune,N/L ratio,,24,,,,,0.036475711,n,0.0364919,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,2,Cellular,Immune,N/L ratio,,24,,,,,0.300446573,n,0.310010416,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,5,Cellular,Immune,N/L ratio,,24,,,,,0.492243683,n,0.539017226,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Hylidae,Pseudacris regilla,Pseudacris regilla,Sensitive,Wild,Lab,Juvenile,Juvenile,1.390142078,,,18.6,,7.342938036,15,Cellular,Immune,N/L ratio,,24,,,,,0.202702745,n,0.205549508,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,1,Cellular,Immune,N/L ratio,,24,,,,,0.289103912,n,0.297588172,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,2,Cellular,Immune,N/L ratio,,24,,,,,0.569316849,n,0.646511503,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,5,Cellular,Immune,N/L ratio,,24,,,,,0.631059777,n,0.743175309,0.047619048,0.21821789,repeated,,
36,Gervasi,2013,Table 1,Anura,Ranidae,Rana cascadae,Rana cascadae,Sensitive,Wild,Lab,Juvenile,Juvenile,2.260782129,,,18.6,,31.60207964,15,Cellular,Immune,N/L ratio,,24,,,,,-0.336217073,n,-0.349821321,0.047619048,0.21821789,repeated,,
38,Carey,2006,Table 1,Anura,Bufonidae,Bufo boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Juvenile,Juvenile,12.41,,,12,JEL 275,,42,Organism,Behaviour,Breathing rate,min,12,,,,,-0.514609234,n,-0.568979241,0.111111111,0.333333333,repeated,Experimental Exposures of Boreal Toads (Bufo boreas) to a Pathogenic Chytrid Fungus (Batrachochytrium dendrobatidis),https://link.springer.com/article/10.1007/PL00021734
38,Carey,2006,Table 1,Anura,Bufonidae,Bufo boreas,Anaxyrus boreas,Sensitive,Lab,Lab,Juvenile,Juvenile,12.41,,,23,JEL 275,,42,Organism,Behaviour,Breathing rate,min,9,,,,,-0.632451913,n,-0.745492122,0.166666667,0.40824829,repeated,,
42,Searle,2011,Fig 3,Anura,Bufonidae,Anaxyrus terrestris,Anaxyrus terrestris,Resilient,Wild,Lab,Juvenile,Juvenile,0.147634755,-81,29,22.4,JEL 274,350488.501,30,Organism,Behaviour,Feeding rate,,50,,,,,-0.242393083,n,-0.247315016,0.021276596,0.145864991,repeated,"Differential Host Susceptibility to Batrachochytrium dendrobatidis, an Emerging Amphibian Pathogen",https://conbio.onlinelibrary.wiley.com/doi/full/10.1111/j.1523-1739.2011.01708.x?casa_token=AEe3SlMQEkMAAAAA%3AbFxGnkYRRWuSuRKU6cSNPAF0O1Ik05YnGhkXwDXMiyPO9bUQKNKAog1zZTwsHHS9GLhdYC5xjWy84jA
42,Searle,2011,Fig 3,Anura,Ranidae,Lithobates sylvaticus,Rana sylvatica,Sensitive,Wild,Lab,Juvenile,Juvenile,0.303705693,-84,42,22.4,JEL 274,189883.8897,30,Organism,Behaviour,Feeding rate,,44,,,,,-0.135925533,n,-0.136772046,0.024390244,0.156173762,repeated,,
42,Searle,2011,Fig 3,Anura,Hylidae,Pseudacris triseriata,Pseudacris triseriata,Sensitive,Wild,Lab,Juvenile,Juvenile,0.167688827,-84,42,22.4,JEL 274,103811.3335,30,Organism,Behaviour,Feeding rate,,50,,,,,-0.564624734,n,-0.639596474,0.021276596,0.145864991,repeated,,
42,Searle,2011,Fig 3,Anura,Ranidae,Rana pipiens,Rana pipiens,Tolerant,Wild,Lab,Juvenile,Juvenile,1.019713063,-80,41,22.4,JEL 274,96653.84458,30,Organism,Behaviour,Feeding rate,,50,,,,,-0.154641859,n,-0.155892561,0.021276596,0.145864991,repeated,,
42,Searle,2011,Fig 3,Anura,Hylidae,Pseudacris feriarum,Pseudacris feriarum,Tolerant,Wild,Lab,Juvenile,Juvenile,0.19696,-83,35,22.4,JEL 274,1141740.057,30,Organism,Behaviour,Feeding rate,,50,,,,,-0.243870067,n,-0.248884795,0.021276596,0.145864991,repeated,,
42,Searle,2011,Fig 3,Anura,Hylidae,Hyla versicolor,Dryophytes versicolor,Resilient,Wild,Lab,Juvenile,Juvenile,0.266686131,-80,41,22.4,JEL 274,40849.37769,30,Organism,Behaviour,Feeding rate,,50,,,,,-0.030263922,n,-0.030273167,0.021276596,0.145864991,repeated,,
